Country Name;Country Code;Population;Average;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Japan;JPN;127817277;35496.1305172763;25123.6317862142;28540.7714826016;31013.6471483627;35451.2975115747;38814.8943789814;42522.0665906054;37421.6738577112;34294.8989766588;30967.2880890928;34998.8099717531;37291.7061580448;32716.4186748897;31235.5881843914;33690.9377297154;36441.5044939422;35781.2349805938;34102.2061671255;34094.8871057682;37972.2372128835;39473.3629058165;43063.1363656754;45902.6716076756
Iceland;ISL;319000;35930.5462988645;25008.8494644961;26405.9158840075;26722.4411926586;23230.4717972225;23662.8066814483;26239.027296502;27261.1716612852;27378.1929784607;30256.582900979;31518.3822910375;30928.6756416852;27803.0622479039;30979.11448138;37889.8212014454;45370.1264454263;54885.2613028243;54813.9546896864;65566.3091745291;53028.7878812037;38031.8218386824;39522.0494208946;43969.1921012597
United States;USA;311591917;35501.6655795873;23037.9412153528;23443.2625375028;24411.1432514405;25326.736406342;26577.7612246604;27559.1674866117;28772.3557317535;30281.6359015173;31687.0518462665;33332.1387614679;35081.9230843615;35912.3329767623;36819.4450894293;38224.7389284594;40292.3037273731;42516.3934699993;44622.6420228986;46349.1154819162;46759.5598394741;45305.0517605237;46611.9750972176;48111.9669095909
Germany;DEU;81726000;30485.2659932788;21583.84352463;22603.6164742698;25604.7254344539;24735.6202405848;26375.8457271458;30887.8654852036;29749.9712591613;26296.5306126994;26547.775353907;25956.6374131131;22945.7088501507;22840.2740450113;24325.6664494032;29367.4089436583;33040.0514092622;33542.781383459;35237.6032582424;40402.9900838719;44132.0418157452;40275.2507638384;40163.8174019314;44059.8259223911
Austria;AUT;8419000;32200.004142788;21458.2327210484;22180.6553471394;24624.537839889;23834.1070003374;25383.1988078442;30014.2727535818;29485.6082075795;26082.4585078064;26743.7919407516;26563.2095389091;23974.1830690696;23833.8342435144;25679.0943977121;31268.6306973177;35662.211822391;37067.3238286743;39299.6142950584;45181.4675943835;49679.110704484;45859.4255539945;44916.3608373753;49608.7614324742
France;FRA;65436552;29095.0495558277;21349.6597837764;21269.8018617055;23343.8875555899;21958.7038771639;23065.1342249978;26396.6112139281;26301.2201770008;23674.8705149493;24359.7605075882;24075.0860119215;21774.992990193;21812.2490179407;23494.4783550762;28794.1673142003;32784.9683095973;33819.1357682257;35457.2735774387;40342.2432653552;43992.0986414796;40477.0644326045;39170.2646988441;42377.4181286325
Canada;CAN;34482779;28765.5529336816;20968.041152761;21234.3758233987;20320.4737093002;19549.0170997903;19390.4853731396;20117.0996076457;20684.9457847644;21260.2868099547;20390.3884480615;21681.3793050069;23559.5036897592;23017.3687489828;23425.2264265171;27335.308828525;31011.9112211881;35087.8925933298;39249.9982239973;43245.5899186279;45099.6133672904;39655.7940423275;46212.0294743137;50345.4348923126
Belgium;BEL;11008000;30564.9179896302;20349.6248728199;20785.5388830787;23088.1246456957;22012.6931188166;23913.8852430752;28067.9697425056;27154.3368805058;24532.026923492;25051.3399582643;24886.8656637976;22697.0123033035;22600.9161499186;24465.3335045586;30039.0922372354;34706.6939010393;36011.4694012925;37918.7732033123;43255.3952830783;47374.4481255186;43847.9992897451;43006.1281785378;46662.5282622739
Italy;ITA;60770000;25662.5054071746;20065.34534025;21154.8025108756;22394.7554094707;18054.5311142101;18631.5309095132;19910.0006721698;22271.3309224353;21069.5477921216;21519.0641202568;21227.3108730503;19388.2787508005;19721.9652029887;21435.139299277;26291.3380439042;29832.6129035081;30478.8455886883;31776.977752641;35826.0234573857;38563.0530869725;35073.1580217857;33786.6428925285;36102.8642930082
Netherlands;NLD;16696000;32261.2299413285;19721.8282425559;20130.671820841;22142.426901437;21418.4023507819;22830.0016377512;27101.9531338304;26913.5215211298;24760.9016951527;25634.6178609894;26021.63765228;24179.7314074386;24968.8174196264;27110.60685192;33177.357258652;37458.4328706261;39122.2910794797;41458.9327101763;47770.8012063144;52951.0335884429;48173.9065735784;46622.9025165965;50076.2824096257
Andorra;AND;86165;26792.6465116799;19498.4071287807;20126.7536364184;20946.0869404361;16599.4873320809;16123.0945333327;18218.9100577793;18765.5950709271;18190.371111821;18864.2709828091;19377.0456455958;17539.4420048658;19050.4631185532;21091.1865981174;26563.2795766814;30842.101448533;32607.83799722;35349.4735786775;39874.819802429;44952.3991729748;44952.3991729748;44952.3991729748;44952.3991729748
